time,Bz,Dens,Speed,Temp,Pdyn,Kp,Scalar_B,BZ_omni,flux,N_thermal,N_scint,N_rad,N_total_raw,N_total,storm_flag,SNR_lin,SNR_dB,SNR_dB_ml,data_loss_pct,storm_risk
2026-03-27 12:00:00,-2.99,0.24,420.31,37832.0,0.07080552683687999,,5.0,,0.0,5.223269480863999e-12,4.2398519064e-14,0.0,5.265667999927999e-12,5.265667999927999e-12,False,0.18990942839800642,-7.2145347339051655,-7.213697209743282,41.24524492474993,LOW
2026-03-27 12:01:00,-2.61,0.29,425.72,37689.0,0.08777333016112,,5.0,,0.0,5.203526207028e-12,5.2558880336000004e-14,0.0,5.2560850873639995e-12,5.2560850873639995e-12,False,0.19025567192663428,-7.206623871212752,-7.204181366719797,41.14151280695417,LOW
2026-03-27 12:02:00,-2.58,0.36,420.41,26371.0,0.10625883434172004,,5.0,,0.0,3.640908212092e-12,6.362804451600002e-14,0.0,3.704536256608e-12,3.704536256608e-12,False,0.26993932053337066,-5.687338496158601,-5.6982110577665726,26.196022800597113,NONE
2026-03-27 12:03:00,-2.82,0.4,415.28,20884.0,0.1152015955712,,5.0,,0.0,2.883346369168e-12,6.898299135999999e-14,0.0,2.952329360528e-12,2.952329360528e-12,False,0.3387155963591942,-4.701648055496699,-4.720806221181115,18.608729896794706,NONE
2026-03-27 12:04:00,-3.3,0.15,408.67,21246.0,0.04183629780945001,,5.0,,0.0,2.9333258455919998e-12,2.5051675335000006e-14,0.0,2.9583775209269998e-12,2.9583775209269998e-12,False,0.3380231200805814,-4.71053593864296,-4.757948529325686,18.863208006260653,NONE
2026-03-27 12:05:00,-2.79,0.28,421.11,37208.0,0.08292120636996002,,5.0,,0.0,5.137117013216e-12,4.965341698800002e-14,0.0,5.1867704302039996e-12,5.1867704302039996e-12,False,0.19279819946854082,-7.14897026265805,-7.148063009618586,40.53139551990195,LOW
2026-03-27 12:06:00,-3.26,0.71,420.09,27433.0,0.20924712852416996,,5.0,,0.0,3.7875330849159995e-12,1.25297681751e-13,0.0,3.9128307666669995e-12,3.9128307666669995e-12,False,0.25556944821608346,-5.924910646928958,-5.908654035277463,28.06770536583026,NONE
2026-03-27 12:07:00,-2.93,0.13,415.95,40171.0,0.037561426782750006,,5.0,,0.0,5.546203169691999e-12,2.2491872325e-14,0.0,5.568695042016999e-12,5.568695042016999e-12,False,0.1795752851349886,-7.457534353083968,-7.452411993100385,43.87061833191893,LOW
2026-03-27 12:08:00,-2.91,0.15,410.38,14674.0,0.042187141972200005,,5.0,,0.0,2.0259636382479995e-12,2.5261761660000003e-14,0.0,2.0512253999079997e-12,2.0512253999079997e-12,False,0.487513463924955,-3.1201338565248475,-3.2066581194312658,10.367855152159237,NONE
2026-03-27 12:09:00,-2.89,0.21,416.75,25657.0,0.060909773268749995,,5.0,,0.0,3.5423299077639995e-12,3.6472918125e-14,0.0,3.5788028258889995e-12,3.5788028258889995e-12,False,0.27942304973216653,-5.537377715983655,-5.56211047109217,25.029298947654055,NONE
2026-03-27 12:10:00,-2.95,0.29,423.46,37109.0,0.08684388736587999,,5.0,,0.0,5.123448592867999e-12,5.2002327763999995e-14,0.0,5.175450920631999e-12,5.175450920631999e-12,False,0.19321987887345,-7.139481944788838,-7.138457501521079,40.42725163515225,LOW
2026-03-27 12:11:00,-2.95,0.22,419.32,31329.0,0.06459967100576,,5.0,,0.0,4.325433748308e-12,3.8682437728000004e-14,0.0,4.364116186036e-12,4.364116186036e-12,False,0.2291414704309962,-6.398963043092047,-6.408716863332615,32.82573477867431,LOW
2026-03-27 12:12:00,-2.76,0.21,418.61,30313.0,0.061454680267469995,,5.0,,0.0,4.185159858675999e-12,3.6799209741e-14,0.0,4.221959068416999e-12,4.221959068416999e-12,False,0.23685686758089408,-6.255140185389509,-6.267172756865481,31.436897144841915,LOW
2026-03-27 12:13:00,-2.97,0.15,410.02,13355.0,0.0421131583002,,5.0,,0.0,1.84385609846e-12,2.521746006e-14,0.0,1.86907355852e-12,1.86907355852e-12,False,0.5350244218273763,-2.716263936370967,-2.813281337178532,8.834408399630078,NONE
2026-03-27 12:14:00,-3.07,0.25,419.84,31719.0,0.07359089868799999,,5.0,,0.0,4.379279040588e-12,4.40664064e-14,0.0,4.423345446988e-12,4.423345446988e-12,False,0.2260732316715016,-6.45750857493569,-6.465659385141529,33.39322471791077,LOW
2026-03-27 12:15:00,-2.72,0.15,418.06,28855.0,0.04378092798180001,,5.0,,0.0,3.9838613044599994e-12,2.621612454e-14,0.0,4.0100774289999994e-12,4.0100774289999994e-12,False,0.2493717434900931,-6.031527583216267,-6.049163528949894,29.361803171573346,NONE
2026-03-27 12:16:00,-3.04,0.23,418.03,31041.0,0.06712112197369,,5.0,,0.0,4.285671070931999e-12,4.0192288607e-14,0.0,4.325863359538999e-12,4.325863359538999e-12,False,0.2311677269682805,-6.360727973186472,-6.371001928897088,32.45259733562075,LOW
2026-03-27 12:17:00,-3.28,0.16,412.09,27226.0,0.045375414516319997,,5.0,,0.0,3.758953660551999e-12,2.7170906896e-14,0.0,3.7861245674479996e-12,3.7861245674479996e-12,False,0.2641223187947142,-5.781948986043562,-5.805140721378742,27.136924465147327,NONE
2026-03-27 12:18:00,-3.01,0.12,407.31,20615.0,0.03324664779444,,5.0,,0.0,2.8462069239799996e-12,1.9908172332e-14,0.0,2.8661150963119994e-12,2.8661150963119994e-12,False,0.3489043413806931,-4.572936266368744,-4.625472084237982,17.96769717806251,NONE
2026-03-27 12:19:00,-2.89,0.23,417.05,29946.0,0.06680678283025002,,5.0,,0.0,4.1344900579919995e-12,4.000406157500001e-14,0.0,4.174494119566999e-12,4.174494119566999e-12,False,0.23954998410770914,-6.206038536179187,-6.218495064769171,30.966685943197266,LOW
2026-03-27 12:20:00,-2.87,0.4,430.61,48809.0,0.12386388136280004,,5.0,,0.0,6.7388073612679994e-12,7.416998884000001e-14,0.0,6.8129773501079996e-12,6.8129773501079996e-12,False,0.14677870607982396,-8.333369451203072,-8.3262793160911,53.664062248006545,LOW
2026-03-27 12:21:00,-2.64,0.36,417.74,32721.0,0.10491343260912,,5.0,,0.0,4.517620022291999e-12,6.2822414736e-14,0.0,4.580442437027999e-12,4.580442437027999e-12,False,0.21831952125761148,-6.609074296806185,-6.611526646817802,34.868760065611944,LOW
2026-03-27 12:22:00,-2.7,0.35,416.34,30515.0,0.10131664292819997,,5.0,,0.0,4.2130489587799995e-12,6.066864845999999e-14,0.0,4.273717607239999e-12,4.273717607239999e-12,False,0.2339883192810692,-6.308058220701706,-6.31416010544638,31.894422665609987,LOW
2026-03-27 12:23:00,-2.71,0.3,407.95,17471.0,0.0833780244525,,5.0,,0.0,2.412131029292e-12,4.9926960749999995e-14,0.0,2.4620579900419997e-12,2.4620579900419997e-12,False,0.4061642755956943,-3.9129827786363593,-3.958055637781219,13.956892324701444,NONE
2026-03-27 12:24:00,-2.84,0.43,418.0,35566.0,0.1254693044,,5.0,,0.0,4.910414526231999e-12,7.513131999999999e-14,0.0,4.985545846231999e-12,4.985545846231999e-12,False,0.2005798423768954,-6.977127143084196,-6.975160712384622,38.67064827768708,LOW
2026-03-27 12:25:00,-3.01,0.27,415.29,32825.0,0.07776482205069002,,5.0,,0.0,4.5319787669e-12,4.656576170700001e-14,0.0,4.578544528607e-12,4.578544528607e-12,False,0.21841001954921366,-6.60727442271686,-6.613366723254026,34.88756745949282,LOW
2026-03-27 12:26:00,-2.96,0.3,414.32,24572.0,0.08600219226240001,,5.0,,0.0,3.3925295433439995e-12,5.149831872e-14,0.0,3.4440278620639997e-12,3.4440278620639997e-12,False,0.290357697455067,-5.370666562228783,-5.3923020901481955,23.62294101147424,NONE
2026-03-27 12:27:00,-2.45,0.16,404.76,23107.0,0.043775551710720007,,5.0,,0.0,3.1902645351639995e-12,2.6212905216000005e-14,0.0,3.2164774403799995e-12,3.2164774403799995e-12,False,0.3108991182235242,-5.073805097072128,-5.110885496048375,21.414793066277564,NONE
2026-03-27 12:28:00,-2.61,0.53,417.28,29662.0,0.15411591184384002,,5.0,,0.0,4.0952796400239996e-12,9.2284977152e-14,0.0,4.187564617175999e-12,4.187564617175999e-12,False,0.2388022851989751,-6.219615215771897,-6.216594392666126,30.94840483806705,LOW
2026-03-27 12:29:00,-2.73,0.6,428.3,51852.0,0.18380777178000005,,5.0,,0.0,7.158938705903999e-12,1.10064534e-13,0.0,7.269003239903999e-12,7.269003239903999e-12,False,0.13757044356651119,-8.614748624287898,-8.610858654578267,56.82921121690484,MODERATE
2026-03-27 12:30:00,-2.96,0.54,421.23,32187.0,0.16001062409322003,,5.0,,0.0,4.443893391324e-12,9.581474496600001e-14,0.0,4.53970813629e-12,4.53970813629e-12,False,0.22027847825856778,-6.570279324004412,-6.564750316758043,34.392255042082915,LOW
2026-03-27 12:31:00,-3.05,0.3,414.65,24632.0,0.08613924587249999,,5.0,,0.0,3.4008134344639995e-12,5.1580386749999995e-14,0.0,3.4523938212139994e-12,3.4523938212139994e-12,False,0.28965409272119486,-5.381203306771855,-5.402753141898912,23.707899677866838,NONE
2026-03-27 12:32:00,-3.16,0.18,413.91,23665.0,0.05149923932286001,,5.0,,0.0,3.26730472258e-12,3.0837867858000004e-14,0.0,3.298142590438e-12,3.298142590438e-12,False,0.3032009601098532,-5.182694278099343,-5.216960678186993,22.22905486310228,NONE
