time,Bz,Dens,Speed,Temp,Pdyn,Kp,Scalar_B,BZ_omni,flux,N_thermal,N_scint,N_rad,N_total,SNR_lin,SNR_dB,storm_flag,data_loss_pct
2026-03-27 12:00:00,-2.99,0.24,420.31,37832.0,0.07080552683687999,,5.0,,0.0,1.38064852e-14,1.5151748800000002e-11,0.0,1.51655552852e-11,6.446928833352592,8.09352876128144,False,0.030541647395706167
2026-03-27 12:01:00,-2.61,0.29,425.72,37689.0,0.08777333016112,,5.0,,0.0,1.38064852e-14,1.3296917599999998e-11,0.0,1.3310724085199999e-11,7.345299550658488,8.660095115687959,False,0.01733377649303946
2026-03-27 12:02:00,-2.58,0.36,420.41,26371.0,0.10625883434172004,,5.0,,0.0,1.38064852e-14,1.32026952e-11,0.0,1.3216501685200001e-11,7.397665280173506,8.690946770385445,False,0.016807254487129136
2026-03-27 12:03:00,-2.82,0.4,415.28,20884.0,0.1152015955712,,5.0,,0.0,1.38064852e-14,1.4432223999999998e-11,0.0,1.4446030485199999e-11,6.768036087292327,8.304626657032694,False,0.024730850412904008
2026-03-27 12:04:00,-3.3,0.15,408.67,21246.0,0.04183629780945001,,5.0,,0.0,1.38064852e-14,1.6622601e-11,0.0,1.6636407485199998e-11,5.876945231651574,7.69151643462002,False,0.045647664717342794
2026-03-27 12:05:00,-2.79,0.28,421.11,37208.0,0.08292120636996002,,5.0,,0.0,1.38064852e-14,1.41858216e-11,0.0,1.41996280852e-11,6.88548003196392,8.379342231645925,False,0.022950820758752377
2026-03-27 12:06:00,-3.26,0.71,420.09,27433.0,0.20924712852416996,,5.0,,0.0,1.38064852e-14,1.6896527799999997e-11,0.0,1.6910334285199996e-11,5.781745883493772,7.6205899985251255,False,0.04900122677795786
2026-03-27 12:07:00,-2.93,0.13,415.95,40171.0,0.037561426782750006,,5.0,,0.0,1.38064852e-14,1.4758147e-11,0.0,1.4771953485199998e-11,6.61870860478376,8.207732612634267,False,0.027246371369690832
2026-03-27 12:08:00,-2.91,0.15,410.38,14674.0,0.042187141972200005,,5.0,,0.0,1.38064852e-14,1.4673114e-11,0.0,1.46869204852e-11,6.6570290034921005,8.232804490996557,False,0.026571925322364385
2026-03-27 12:09:00,-2.89,0.21,416.75,25657.0,0.060909773268749995,,5.0,,0.0,1.38064852e-14,1.4625035e-11,0.0,1.4638841485199998e-11,6.678892980759871,8.247044846029567,False,0.02619631158102508
